car_age,brand_target_enc,transmission_enc,mileage_km,mileage_per_year,is_luxury,fuel_Essence,fuel_Diesel,region_enc,fuel_Hybride
0.25,-0.690880470035392,1.0,0.05669393374908885,-0.20026373626373636,0.0,1.0,-1.0,0.5,0.0
-0.875,0.06513347925204904,0.0,-0.3401636024945331,1.8008791208791208,0.0,1.0,-1.0,0.3333333333333333,0.0
-0.5,0.12198150741879472,1.0,-0.0728922005345428,0.7905934065934067,0.0,0.0,0.0,0.5,0.0
-0.75,-0.1986178998026808,1.0,-0.21867660160362842,1.4123076923076923,0.0,0.0,-1.0,-0.5,1.0
0.375,2.8330723144246086,1.0,1.3039604762290435,1.0805274725274725,1.0,0.0,0.0,0.5,0.0
-0.375,1.2547290728632903,1.0,-0.27537053535271727,0.04675667189952909,1.0,0.0,0.0,0.5,0.0
-0.875,5.564270523316105,1.0,-0.9394994735563295,-1.0745494505494506,1.0,0.0,-1.0,-0.5,0.0
-1.125,1.4598072230740955,0.0,-0.5831376042763424,4.90945054945055,1.0,0.0,0.0,-0.5,0.0
-1.0,2.045930786810197,1.0,-0.07694176723090629,5.346593406593407,1.0,0.0,0.0,-0.5,0.0
-0.75,0.4614510323474599,1.0,0.23655948813476957,3.050369406593407,0.0,0.0,0.0,-0.5,0.0
-0.25,1.4598072230740955,1.0,0.20247833481817445,0.7128791208791209,1.0,0.0,0.0,-0.5,0.0
-0.5,1.2547290728632903,1.0,-0.034826273588726,0.8819076923076923,1.0,0.0,0.0,-0.5,0.0
-0.875,2.045930786810197,1.0,-0.30901433546610513,1.950323692307692,1.0,0.0,0.0,-0.5,0.0
-1.0,2.045930786810197,1.0,-0.2915688021381712,3.8020219780219784,1.0,0.0,0.0,-0.5,0.0
-1.0,-0.5667032431345539,1.0,-0.6317324046327043,1.354021978021978,0.0,0.0,0.0,-0.5,0.0
-1.125,1.4598072230740955,1.0,-0.9986231473232364,-1.0706637362637363,1.0,0.0,0.0,-0.5,0.0
